refYear,flowCode,partnerCode,primaryValue,iso3
2001,X,484,229928234.0,MEX
2001,X,490,2188141408.0,S19
2001,X,496,2608829.0,MNG
2001,X,498,157405.0,MDA
2001,X,500,2373434.0,MSR
2001,X,504,23954746.0,MAR
2001,X,508,7967871.0,MOZ
2001,X,512,19935990.0,OMN
2001,X,516,4281132.0,NAM
2001,X,520,1362811.0,NRU
2001,X,524,8086766.0,NPL
2001,X,527,3887151.0,O19
2001,X,528,1498204795.0,NLD
2001,X,530,13140374.0,ANT
2001,X,533,651249.0,ABW
2001,X,540,5431100.0,NCL
2001,X,548,474431.0,VUT
2001,X,554,144846513.0,NZL
2001,X,558,4813562.0,NIC
2001,X,562,7037364.0,NER
2001,X,566,283031563.0,NGA
2001,X,570,82457.0,NIU
2001,X,574,6647761.0,NFK
2001,X,577,128128.0,F19
2001,X,579,35155497.0,NOR
2001,X,580,290905.0,MNP
2001,X,581,71700.0,UMI
2001,X,583,54187.0,FSM
2001,X,584,274223.0,MHL
2001,X,585,141771.0,PLW
2001,X,586,178633959.0,PAK
2001,X,591,147379564.0,PAN
2001,X,598,28377035.0,PNG
2001,X,600,2739951.0,PRY
2001,X,604,21220538.0,PER
2001,X,608,814785057.0,PHL
2001,X,616,81723384.0,POL
2001,X,620,75744448.0,PRT
2001,X,624,24638.0,GNB
2001,X,626,53229265.0,TLS
2001,X,634,20754136.0,QAT
2001,X,637,142700.0,A59
2001,X,642,9422768.0,ROU
2001,X,643,62145045.0,RUS
2001,X,646,235509.0,RWA
2001,X,654,724117.0,SHN
2001,X,659,537821.0,KNA
2001,X,660,29878.0,AIA
2001,X,662,185310.0,LCA
2001,X,670,54257.0,VCT
2001,X,674,253960.0,SMR
2001,X,678,700461.0,STP
2001,X,682,482471931.0,SAU
2001,X,686,20853938.0,SEN
2001,X,690,2197416.0,SYC
2001,X,694,4812371.0,SLE
2001,X,699,1053939504.0,IND
2001,X,702,5363830754.0,SGP
2001,X,703,1313549.0,SVK
2001,X,704,322046913.0,VNM
2001,X,705,26618845.0,SVN
2001,X,706,12521453.0,SOM
2001,X,710,160061040.0,ZAF
2001,X,716,5531649.0,ZWE
2001,X,724,903598205.0,ESP
2001,X,732,34009.0,ESH
2001,X,736,62139576.0,SDN
2001,X,740,1645500.0,SUR
2001,X,748,640114.0,SWZ
2001,X,752,118080688.0,SWE
2001,X,757,93773057.0,CHE
2001,X,760,59771295.0,SYR
2001,X,762,162172.0,TJK
2001,X,764,1063621283.0,THA
2001,X,768,24195379.0,TGO
